Heart of Darkness;
Majestic blue;
Twilight;
Nitrogen;
Shin-kai;
Syo-ro;
Tsuki-yo;
Fire & ice;
Boku blue black;
Burnt sienna;
Sepia;
Golden brown;
Meadow;
Vert Olive;
Chiku-rin;
Alt-goldgrun;
Autumn oak;
Golden honey;
Ancient copper;
Momiji;
Yama-budo;
Fernambuk;
Solferino;
Amaranth;
Matador;
Red dragon;
Syrah;
Wild strawberry;
Direct Sun;
Steel blue;
Teal;
Navajo turquoise;
Walden pond;
Ku-jaku;
Ambre de bermanie;
